filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
GXB01030_20170907__GA20000_mux_scan_3_94881_read_12_ch_467_strand.fast5	3e07c424-fcf0-43d4-b5d8-35c21d032cbc	caa60b653b1c746434964eee2a3b83439453d2d5	467	10.5015	1.6915	1260	0.10025	1260	1.59125	1260	811	9.066	-0.0014
GXB01030_20170907__GA20000_mux_scan_3_94881_read_7_ch_385_strand.fast5	365e9830-4435-432a-b5e8-b08d8263e9cd	caa60b653b1c746434964eee2a3b83439453d2d5	385	8.72175	3.85675	2981	0.0755	2981	3.78125	2981	1668	11.928	-0.0015
GXB01030_20170907__GA20000_mux_scan_3_94881_read_8_ch_206_strand.fast5	d58d0660-c65a-4c4b-9448-b9bfefa59a51	caa60b653b1c746434964eee2a3b83439453d2d5	206	9.27175	2.86975	2134	0.10725	2134	2.7625	2134	748	10.206	-0.0022
GXB01030_20170907__GA20000_mux_scan_3_94881_read_9_ch_349_strand.fast5	5741ed7b-5e47-41ca-ab8b-57980f55b75d	caa60b653b1c746434964eee2a3b83439453d2d5	349	9.63475	4.2485	3440	0.0	3440	4.2485	3440	2266	9.584	-0.0015
GXB01030_20170907__GA20000_mux_scan_3_94881_read_7_ch_1_strand.fast5	d6896cf1-759f-4998-88c3-1401d3f988d1	caa60b653b1c746434964eee2a3b83439453d2d5	1	8.91275	4.78725	3666	0.17475	3666	4.6125	3666	2121	12.282	-0.0012
GXB01030_20170907__GA20000_mux_scan_3_94881_read_10_ch_342_strand.fast5	01503b58-1b9b-47ce-a336-8b7e5c1a98c2	caa60b653b1c746434964eee2a3b83439453d2d5	342	10.022	4.493	3513	0.02625	3513	4.46675	3513	2099	11.416	-0.001
GXB01030_20170907__GA20000_mux_scan_3_94881_read_8_ch_346_strand.fast5	afb57eba-952e-4353-88b7-2b3b51cfad8a	caa60b653b1c746434964eee2a3b83439453d2d5	346	10.884	3.47475	2582	0.16875	2582	3.306	2582	1405	13.167	-0.0014
GXB01030_20170907__GA20000_mux_scan_3_94881_read_14_ch_467_strand.fast5	7b1e0329-012d-489c-9199-0dcee43b441b	caa60b653b1c746434964eee2a3b83439453d2d5	467	12.324	3.32675	2601	0.05275	2601	3.274	2601	1697	11.171	-0.0014
GXB01030_20170907__GA20000_mux_scan_3_94881_read_8_ch_462_strand.fast5	91159b25-82df-432b-b485-f18793146740	caa60b653b1c746434964eee2a3b83439453d2d5	462	9.8755	5.68725	4553	0.0	4553	5.68725	4553	2931	9.437	-0.0018
GXB01030_20170907__GA20000_mux_scan_3_94881_read_12_ch_476_strand.fast5	33ac0ef3-f25a-466f-928b-bf35e5abf9ec	caa60b653b1c746434964eee2a3b83439453d2d5	476	12.145	3.6485	2947	0.0	2947	3.6485	2947	1439	6.731	-0.002
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_7_ch_470_strand.fast5	d1cf4ce7-a73a-4ae5-bba0-7f19563f40e6	738df72bc123fe6723c7ac49a423564c8edf2347	470	9.088	1.612	1205	0.07325	1205	1.53875	1205	704	12.95	-0.002
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_6_ch_467_strand.fast5	584d4aa5-7a9c-46f9-a499-f42a6a11a8b8	738df72bc123fe6723c7ac49a423564c8edf2347	467	8.777	2.124	1661	0.05475	1661	2.06925	1661	1179	11.645	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_7_ch_90_strand.fast5	deaa9e06-4f9b-4c87-a42e-a70b11a6c348	738df72bc123fe6723c7ac49a423564c8edf2347	90	9.29275	2.41325	1785	0.101	1785	2.31225	1785	1016	12.608	-0.0011
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_8_ch_87_strand.fast5	973bc3b6-cb07-4623-acd6-bb9f0afbad13	738df72bc123fe6723c7ac49a423564c8edf2347	87	10.47425	1.258	997	0.0	997	1.258	997	558	10.971	-0.0026
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_8_ch_1_strand.fast5	caa4fbed-7b8e-485b-aefa-9ac2f913afb6	738df72bc123fe6723c7ac49a423564c8edf2347	1	9.52725	2.8665	2140	0.0845	2140	2.782	2140	1271	12.308	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_9_ch_470_strand.fast5	3439300b-1401-4bb9-8382-83384eb3209b	738df72bc123fe6723c7ac49a423564c8edf2347	470	10.81025	1.17925	902	0.0	902	1.17925	902	390	9.229	-0.0015
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_8_ch_383_strand.fast5	76ac20c7-63ce-49f5-9418-705632277417	738df72bc123fe6723c7ac49a423564c8edf2347	383	8.88775	2.99225	2292	0.05625	2292	2.936	2292	1283	11.082	-0.0012
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_6_ch_345_strand.fast5	16c1985d-22fd-4359-9ac9-764b5b3f153b	738df72bc123fe6723c7ac49a423564c8edf2347	345	9.0935	3.87725	2996	0.0	2996	3.87725	2996	1576	11.355	-0.0008
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_10_ch_457_strand.fast5	219395ab-2035-4555-abf3-19c946d3c8f7	738df72bc123fe6723c7ac49a423564c8edf2347	457	10.976	1.99525	1334	0.274	1334	1.72125	1334	781	12.379	-0.0008
GXB01030_20170907__GA20000_sequencing_run_3_81840_read_10_ch_139_strand.fast5	8001c29c-307f-4397-bcbd-34d6eb793678	738df72bc123fe6723c7ac49a423564c8edf2347	139	10.7725	1.27825	986	0.0	986	1.27825	986	499	10.855	-0.0022
