filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
GXB01030_20170907__GA10000_mux_scan_2_92904_read_24_ch_315_strand.fast5	c0f90304-a5b5-46d3-b697-e75e4bf0c5cc	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	315	10.03225	1.21375	946	0.0145	946	1.19925	946	622	10.648	-0.0011
GXB01030_20170907__GA10000_mux_scan_2_92904_read_25_ch_448_strand.fast5	541d40dc-3457-4d02-ae78-0c9d313e54ca	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	448	10.672	1.7945	1403	0.02975	1403	1.76475	1403	850	11.694	-0.0009
GXB01030_20170907__GA10000_mux_scan_2_92904_read_18_ch_504_strand.fast5	5dae22bc-bdd4-4e80-becf-791b1378d48b	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	504	10.7535	1.31525	1023	0.02425	1023	1.291	1023	606	10.973	-0.0026
GXB01030_20170907__GA10000_mux_scan_2_92904_read_9_ch_300_strand.fast5	639f77d7-35e7-463e-9c56-991ab65d55db	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	300	9.14825	1.1065	839	0.05	839	1.0565	839	579	11.423	-0.0011
GXB01030_20170907__GA10000_mux_scan_2_92904_read_23_ch_149_strand.fast5	a0defaa4-e442-4340-aa96-af2bc9a76ad0	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	149	10.57625	1.52475	1079	0.14425	1079	1.3805	1079	700	12.23	-0.0017
GXB01030_20170907__GA10000_mux_scan_2_92904_read_7_ch_1_strand.fast5	b533b48c-72b8-476d-8275-6f492826fa30	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	1	8.83425	2.0935	1644	0.0	1644	2.0935	1644	968	12.768	-0.0015
GXB01030_20170907__GA10000_mux_scan_2_92904_read_17_ch_100_strand.fast5	b78e80ac-f175-41c7-b4f5-d958e96352c3	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	100	9.92125	2.32875	1818	0.041	1818	2.28775	1818	1194	11.352	-0.0015
GXB01030_20170907__GA10000_mux_scan_2_92904_read_22_ch_36_strand.fast5	c111592f-bee5-4965-b399-f25a83a3b62e	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	36	10.9485	1.73075	1342	0.04125	1342	1.6895	1342	823	12.466	-0.0009
GXB01030_20170907__GA10000_mux_scan_2_92904_read_18_ch_24_strand.fast5	c3501078-d748-4ef5-9c86-2baae5647f71	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	24	10.2475	3.087	2394	0.09125	2394	2.99575	2394	1493	10.926	-0.0011
GXB01030_20170907__GA10000_mux_scan_2_92904_read_10_ch_256_strand.fast5	c6ffac78-76b8-4afb-8514-cc9f006ab09b	299e9e057d7ee881fee32be43e0a1afdd5bfe6a9	256	9.02925	3.65325	2830	0.05875	2830	3.5945	2830	1813	12.743	-0.0007
